iter	Passed	Remaining
420	1908	2625
421	1911	2618
422	1913	2610
423	1916	2603
424	1929	2610
425	1931	2602
426	1938	2600
427	1940	2593
428	1943	2586
429	1946	2579
430	1948	2572
431	1952	2566
432	1954	2558
433	1956	2551
434	1963	2550
435	1967	2545
436	1971	2539
437	1973	2531
438	1985	2537
439	1999	2545
440	2004	2540
441	2015	2544
442	2017	2536
443	2019	2529
444	2026	2527
445	2029	2520
446	2032	2514
447	2043	2517
448	2046	2510
449	2048	2503
450	2050	2495
451	2052	2487
452	2059	2487
453	2062	2480
454	2064	2472
455	2066	2464
456	2075	2465
457	2078	2460
458	2080	2452
459	2082	2444
460	2090	2444
461	2093	2437
462	2094	2429
463	2097	2423
464	2103	2420
465	2106	2413
466	2108	2406
467	2110	2399
468	2112	2391
469	2119	2389
470	2121	2382
471	2123	2375
472	2125	2368
473	2127	2361
474	2134	2359
475	2138	2353
476	2140	2346
477	2142	2339
478	2150	2338
479	2153	2333
480	2155	2326
481	2157	2319
482	2165	2317
483	2169	2312
484	2174	2309
485	2183	2309
486	2186	2303
487	2189	2297
488	2198	2297
489	2202	2291
490	2204	2285
491	2206	2278
492	2213	2276
493	2216	2270
494	2218	2263
495	2221	2257
496	2225	2252
497	2230	2247
498	2232	2240
499	2233	2233
500	2235	2226
501	2237	2219
502	2244	2218
503	2247	2211
504	2249	2205
505	2251	2198
506	2259	2197
507	2262	2191
508	2264	2184
509	2266	2177
510	2269	2171
511	2272	2166
512	2275	2159
513	2280	2156
514	2286	2153
515	2289	2147
516	2291	2140
517	2293	2133
518	2297	2129
519	2300	2123
520	2303	2117
521	2308	2114
522	2311	2107
523	2313	2101
524	2315	2094
525	2317	2088
526	2324	2086
527	2327	2080
528	2329	2073
529	2331	2067
530	2333	2060
531	2338	2056
532	2343	2052
533	2345	2047
534	2347	2040
535	2353	2037
536	2357	2032
537	2359	2026
538	2362	2020
539	2368	2017
540	2370	2011
541	2374	2006
542	2377	2000
543	2388	2002
544	2392	1997
545	2401	1997
546	2404	1990
547	2405	1984
548	2407	1977
549	2409	1971
550	2416	1969
551	2418	1962
552	2420	1956
553	2422	1950
554	2424	1943
555	2428	1939
556	2432	1934
557	2434	1928
558	2436	1922
559	2438	1915
560	2440	1909
561	2446	1906
562	2448	1900
563	2450	1894
564	2452	1888
565	2454	1881
566	2456	1875
567	2459	1870
568	2462	1865
569	2464	1859
570	2466	1853
571	2471	1849
572	2474	1844
573	2476	1838
574	2478	1831
575	2480	1825
576	2483	1820
577	2490	1817
578	2491	1811
579	2493	1805
580	2495	1799
581	2497	1794
582	2505	1791
583	2507	1786
584	2509	1780
585	2511	1774
586	2513	1768
587	2522	1767
588	2524	1761
589	2526	1755
590	2528	1749
591	2536	1748
592	2539	1742
593	2541	1736
594	2542	1730
595	2544	1725
596	2551	1722
597	2553	1716
598	2556	1711
599	2558	1705
600	2559	1699
601	2565	1696
602	2567	1690
603	2569	1684
604	2571	1678
605	2573	1673
606	2575	1667
607	2580	1664
608	2583	1658
609	2584	1652
610	2587	1647
611	2589	1641
612	2593	1637
613	2600	1634
614	2602	1629
615	2604	1623
616	2610	1620
617	2613	1615
618	2615	1609
619	2617	1604
620	2620	1599
621	2628	1597
622	2631	1592
623	2633	1586
624	2635	1581
625	2642	1578
626	2645	1573
627	2648	1568
628	2650	1563
629	2659	1561
630	2661	1556
631	2664	1551
632	2670	1548
633	2674	1544
634	2676	1538
635	2678	1533
636	2680	1527
637	2688	1525
638	2691	1520
639	2693	1515
640	2695	1509
